HSGPA,COURSE,GRADE,PASS,UNITS_ENROLLED,STANDARDIZED_TEST_SCORE,STEM_MAJOR,,,,,
3.62,HDEV 190,C,1,15,480,0,,,,,
4,HDEV 190,B,1,16,490,0,,,,,
3.05,HDEV 190,C,1,16,560,0,,,,,
3.2,HDEV 190,F,0,16,530,0,,,,Grade,Pass
4.2,HDEV 190,A,1,16,640,1,,,,A,1
3.96,HDEV 190,A,1,15,590,0,,,,B,1
2.91,HDEV 190,F,0,15,650,0,,,,C,1
3.62,HDEV 190,B,1,16,580,0,,,,D,0
3.84,HDEV 190,B,1,16,540,0,,,,F,0
3.47,HDEV 190,D,0,16,540,0,,,,W,0
4.26,HDEV 190,A,1,16,610,0,,,,WU,0
3.96,HDEV 190,B,1,16,600,1,,,,,
4.2,HDEV 190,A,1,15,590,0,,,,,
2.97,HDEV 190,D,0,15,460,0,,,,,
3.89,HDEV 190,B,1,14,550,0,,,,,
4,HDEV 190,A,1,15,640,0,,,,,
3.4,HDEV 190,B,1,12,530,0,,,,,
3.7,HDEV 190,C,1,16,500,1,,,,,
3.61,HDEV 190,B,1,16,530,0,,,,,
3.33,HDEV 190,C,1,16,610,0,,,,,
3.63,HDEV 190,B,1,15,530,0,,,,,
3.69,HDEV 190,B,1,16,600,0,,,,,
4.13,HDEV 190,A,1,16,600,0,,,,,
3.6,HDEV 190,B,1,15,520,0,,,,,
3.97,HDEV 190,B,1,16,550,0,,,,,
3.36,HDEV 190,B,1,16,550,0,,,,,
3.58,HDEV 190,D,0,16,630,0,,,,,
2.91,HDEV 190,B,1,15,560,0,,,,,
3.81,HDEV 190,B,1,15,470,0,,,,,
3.23,HDEV 190,F,0,16,600,0,,,,,
3.58,HDEV 190,B,1,16,670,0,,,,,
4.13,HDEV 190,A,1,16,590,0,,,,,
3.46,HDEV 190,A,1,16,680,0,,,,,
3.5,HDEV 190,B,1,16,600,0,,,,,
3.48,HDEV 190,C,1,15,650,0,,,,,
3.75,HDEV 190,C,1,15,510,0,,,,,
3.25,HDEV 190,C,1,16,520,0,,,,,
3.97,HDEV 190,C,1,13,640,0,,,,,
3.28,PSY 110,F,0,16,620,0,,,,,
3.88,PSY 110,C,1,15,430,0,,,,,
3.6,PSY 110,F,0,14,530,0,,,,,
2.96,PSY 110,C,1,15,520,0,,,,,
3.26,PSY 110,F,0,15,550,0,,,,,
